V_in,R_in,R_sys,freq,C_DC,C_EXT,C_casc,diode,opamp,eff
0.75 V,100 Ω,1 kΩ,55 Hz,1000 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9975022956004812
0.75 V,100 Ω,5 kΩ,10 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9941200643319543
0.75 V,100 Ω,5 kΩ,25 Hz,47 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9948141404989331
0.75 V,100 Ω,5 kΩ,40 Hz,1000 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.994035207086625
0.75 V,100 Ω,5 kΩ,55 Hz,1000 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9939502569793907
0.75 V,100 Ω,10 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.989493494804726
0.75 V,100 Ω,10 kΩ,25 Hz,47 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9901570760122334
0.75 V,100 Ω,10 kΩ,40 Hz,470 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9893578080915312
0.75 V,100 Ω,10 kΩ,55 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9892925116722953
0.75 V,100 Ω,20 kΩ,10 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9807886937298599
0.75 V,100 Ω,20 kΩ,25 Hz,47 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9811591324786555
0.75 V,100 Ω,20 kΩ,40 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9811666606502697
0.75 V,100 Ω,20 kΩ,55 Hz,470 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9810309874752622
0.75 V,100 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9547521966069866
0.75 V,100 Ω,50 kΩ,25 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9550571890366416
0.75 V,100 Ω,50 kΩ,40 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9543448708067931
0.75 V,100 Ω,50 kΩ,55 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9541138371506701
0.75 V,200 Ω,5 kΩ,10 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9933136778743733
0.75 V,200 Ω,5 kΩ,25 Hz,47 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9936697171476132
0.75 V,200 Ω,5 kΩ,40 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9934697846537158
0.75 V,200 Ω,5 kΩ,55 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9934006200874796
0.75 V,200 Ω,10 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9885158187317012
0.75 V,200 Ω,10 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9886059569777274
0.75 V,200 Ω,10 kΩ,40 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9883975620178905
0.75 V,200 Ω,10 kΩ,55 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9883113067965996
0.75 V,200 Ω,20 kΩ,10 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9792020788294606
0.75 V,200 Ω,20 kΩ,25 Hz,47 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.979283188035092
0.75 V,200 Ω,20 kΩ,40 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9790685276139073
0.75 V,200 Ω,20 kΩ,55 Hz,220 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9789689937178288
0.75 V,200 Ω,50 kΩ,10 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.953245723652571
0.75 V,200 Ω,50 kΩ,25 Hz,220 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.953474089976185
0.75 V,200 Ω,50 kΩ,40 Hz,100 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9531037816815368
0.75 V,200 Ω,50 kΩ,55 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9527227692279419
0.75 V,500 Ω,5 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9912058575006738
0.75 V,500 Ω,5 kΩ,25 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.99111204498071
0.75 V,500 Ω,5 kΩ,40 Hz,470 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9911002967393664
0.75 V,500 Ω,5 kΩ,55 Hz,220 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.991019263522731
0.75 V,500 Ω,10 kΩ,10 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9860570641091387
0.75 V,500 Ω,10 kΩ,25 Hz,47 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9860427669155987
0.75 V,500 Ω,10 kΩ,40 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9860878100916846
0.75 V,500 Ω,10 kΩ,55 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9860072386908874
0.75 V,500 Ω,20 kΩ,10 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9764141521726598
0.75 V,500 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9763704794874173
0.75 V,500 Ω,20 kΩ,40 Hz,47 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9761596028924558
0.75 V,500 Ω,20 kΩ,55 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9762562270208467
0.75 V,500 Ω,50 kΩ,10 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9494593838840807
0.75 V,500 Ω,50 kΩ,25 Hz,47 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9492054068633679
0.75 V,500 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9492072698210156
0.75 V,500 Ω,50 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9490921288254515
0.75 V,1000 Ω,10 kΩ,10 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9825925953286277
0.75 V,1000 Ω,10 kΩ,25 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9824934675707375
0.75 V,1000 Ω,10 kΩ,40 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9825945112996199
0.75 V,1000 Ω,10 kΩ,55 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9824316789041486
0.75 V,1000 Ω,20 kΩ,10 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9723907219529276
0.75 V,1000 Ω,20 kΩ,25 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9723830722451116
0.75 V,1000 Ω,20 kΩ,40 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9724450044940779
0.75 V,1000 Ω,20 kΩ,55 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9723583187175109
0.75 V,1000 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9446652996064495
0.75 V,1000 Ω,50 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9445065452806203
0.75 V,1000 Ω,50 kΩ,40 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9445273538731705
0.75 V,1000 Ω,50 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9444344822618432
1 V,100 Ω,1 kΩ,25 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9980205090981651
1 V,100 Ω,1 kΩ,40 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9979828248081047
1 V,100 Ω,1 kΩ,55 Hz,1000 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9979390800537551
1 V,100 Ω,5 kΩ,10 Hz,1000 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9955841087800691
1 V,100 Ω,5 kΩ,25 Hz,100 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9957792498303426
1 V,100 Ω,5 kΩ,40 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9954687249893064
1 V,100 Ω,5 kΩ,55 Hz,1000 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9953866096853968
1 V,100 Ω,10 kΩ,10 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9595638684149876
1 V,100 Ω,10 kΩ,25 Hz,100 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9557083941121232
1 V,100 Ω,10 kΩ,40 Hz,220 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9549968232338553
1 V,100 Ω,10 kΩ,55 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9546774028939645
1 V,100 Ω,20 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9265737130062757
1 V,100 Ω,20 kΩ,25 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9199137751565785
1 V,100 Ω,20 kΩ,40 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9189057406279665
1 V,100 Ω,20 kΩ,55 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9186044542967834
1 V,100 Ω,50 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8413424117447033
1 V,100 Ω,50 kΩ,25 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8284170604161517
1 V,100 Ω,50 kΩ,40 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8258628701773731
1 V,100 Ω,50 kΩ,55 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8247705906683237
1 V,200 Ω,5 kΩ,10 Hz,220 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9950901547968685
1 V,200 Ω,5 kΩ,25 Hz,47 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9953129225935782
1 V,200 Ω,5 kΩ,40 Hz,470 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9951118238965853
1 V,200 Ω,5 kΩ,55 Hz,470 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9950221330419059
1 V,200 Ω,10 kΩ,10 Hz,220 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9913322040145185
1 V,200 Ω,10 kΩ,25 Hz,47 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9914402714453042
1 V,200 Ω,10 kΩ,40 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.991248367031277
1 V,200 Ω,10 kΩ,55 Hz,470 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9911592032318922
1 V,200 Ω,20 kΩ,10 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9222426962602088
1 V,200 Ω,20 kΩ,25 Hz,47 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9150685774955575
1 V,200 Ω,20 kΩ,40 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.913846017035496
1 V,200 Ω,20 kΩ,55 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9132883337694747
1 V,200 Ω,50 kΩ,10 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.836205175722325
1 V,200 Ω,50 kΩ,25 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8224026929506482
1 V,200 Ω,50 kΩ,40 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8200890251443627
1 V,200 Ω,50 kΩ,55 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8192353943257311
1 V,500 Ω,5 kΩ,10 Hz,470 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9933359324534153
1 V,500 Ω,5 kΩ,25 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.993276486829002
1 V,500 Ω,5 kΩ,40 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9932505947848389
1 V,500 Ω,5 kΩ,55 Hz,220 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9931856090516528
1 V,500 Ω,10 kΩ,10 Hz,220 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9894469249940129
1 V,500 Ω,10 kΩ,25 Hz,47 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9895027641602067
1 V,500 Ω,10 kΩ,40 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9895296348348313
1 V,500 Ω,10 kΩ,55 Hz,100 μFµF,470 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9894388592751713
1 V,500 Ω,20 kΩ,10 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9822396138661181
1 V,500 Ω,20 kΩ,25 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9821746269014803
1 V,500 Ω,20 kΩ,40 Hz,220 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9821875213720186
1 V,500 Ω,20 kΩ,55 Hz,47 μFµF,47 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9820208110001788
1 V,500 Ω,50 kΩ,10 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8256941798761616
1 V,500 Ω,50 kΩ,25 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,TLV2401,0.810296655273512
1 V,500 Ω,50 kΩ,40 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8074452483917604
1 V,500 Ω,50 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,TLV2401,0.8065275418004172
1 V,1000 Ω,10 kΩ,10 Hz,220 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9868069595434604
1 V,1000 Ω,10 kΩ,25 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9867642201819526
1 V,1000 Ω,10 kΩ,40 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9867735541835373
1 V,1000 Ω,10 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9867649104365842
1 V,1000 Ω,20 kΩ,10 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9790530215395856
1 V,1000 Ω,20 kΩ,25 Hz,47 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9790567931482749
1 V,1000 Ω,20 kΩ,40 Hz,100 μFµF,220 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9792076025314477
1 V,1000 Ω,20 kΩ,55 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9791365095990217
1 V,1000 Ω,50 kΩ,10 Hz,100 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9577639318981815
1 V,1000 Ω,50 kΩ,25 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9577703479958809
1 V,1000 Ω,50 kΩ,40 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.957822786464738
1 V,1000 Ω,50 kΩ,55 Hz,47 μFµF,100 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9577323444881882
1.5 V,100 Ω,1 kΩ,25 Hz,1000 μFµF,1000 μFµF,10 μF,NSRLL30XV2,LMR1901YG-M,0.9982530158946887
1.5 V,100 Ω,1 kΩ,40 Hz,1000 μFµF,1000 μFµF,1 μF,NSRLL30XV2,LMR1901YG-M,0.9985298124817807
1.5 V,100 Ω,1 kΩ,55 Hz,1000 μFµF,470 μFµF,4.7 μF,NSRLL30XV2,LMR1901YG-M,0.9983531218531463
1.5 V,100 Ω,5 kΩ,10 Hz,1000 μFµF,1000 μFµF,1 μF,NSRLL30XV2,TLV2401,0.9840982144687022
